Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron,Concentration
1,39.27561385,51.6561465,77.22662604,112.6264721,120.1770979,104.4094645
2,57.86295591,72.58918044,98.9785435,124.5408925,141.142862,104.1057267
3,63.02987861,81.95144936,109.1991808,136.5473206,149.5721761,102.0018328
4,65.30595722,80.49075877,106.2396394,135.0268978,146.7754851,102.5543469
5,66.89368157,90.61817452,119.8777188,150.8277945,166.9590074,100.9291684
6,68.76915534,85.59542935,115.4569083,147.7324751,173.474546,101.5367275
7,69.51287535,86.27300643,121.2198058,154.2842872,181.6865963,101.1061617
8,65.14846911,82.74241829,113.278973,142.6215659,155.2609014,101.7954298
9,69.0907114,88.60832086,120.1339854,148.4419563,162.7054016,102.5752208
10,67.60764125,83.75157162,111.2655957,141.79601,154.0073905,101.8348558
11,70.2741284,88.29877445,123.4762725,157.2566054,170.3516734,101.8669139
12,70.23830475,86.42898021,114.0237862,147.430293,175.8887268,102.2163337
13,68.75044136,83.27660157,114.5049975,146.5046238,179.092835,101.5218384
14,69.87129127,85.26298209,115.5111542,158.9938833,178.7284986,101.8327149
15,71.45261417,86.3286293,114.0875765,149.4282266,167.3964469,101.0341006
16,72.61296129,87.77147621,118.4170007,153.711468,175.3319886,101.8260767
17,71.21250536,85.70977522,112.9877485,147.0990984,160.8740627,101.4225017
18,68.85362758,85.67398845,115.4602068,145.6126008,173.2593923,101.2219236
19,70.99641221,87.21863115,116.2385996,151.9971493,178.0973661,102.8215781
20,69.06710594,85.73321057,117.0493783,150.5728886,162.9647911,101.6285363
21,70.51206786,88.54125889,118.3223089,152.8006716,165.3368944,101.8492444
22,68.89704365,86.77842525,115.1199543,147.2237932,171.0483969,101.598501
23,71.48957638,88.11474329,118.1535792,157.8854825,177.0178494,100.8989385
24,70.8490833,90.04597195,120.2920076,151.1700142,172.2373398,101.8953713
25,71.60413278,89.87811126,120.7147401,149.8630852,164.2278361,101.7462515
26,71.88408358,89.20811883,115.3890868,147.1971963,170.7573239,101.8604703
27,71.44784361,85.80503896,114.9337309,159.5009393,173.8227284,100.9650008
28,70.19225257,85.39610909,113.8577631,144.4479083,161.9673881,100.6014704
29,72.74519014,87.79513742,117.5813315,151.4337515,174.9875907,100.8440812
30,71.51699184,86.24697115,115.1256565,146.8792679,163.4044602,101.5458055
31,70.33731015,86.02111407,112.6315373,142.9375953,156.5394899,101.4320941
32,72.57580057,85.46715442,114.2169248,158.4089548,190.8255025,101.047384
33,69.15949713,86.35612998,110.632628,157.0805024,194.5388609,101.1078091
34,73.71023384,88.72803871,117.1608212,150.4993278,170.1823973,101.1699997
35,69.16564127,87.26973383,113.0434826,142.751064,165.2101122,100.4902475
36,70.44376775,86.81686699,116.2089393,155.5041266,176.7766292,100.8593942
37,73.39812094,87.08039393,114.1384651,149.1955924,165.4003798,101.1367044
38,70.90551938,85.72676927,120.0238505,153.5027877,184.2518572,100.3861076
39,72.39783031,89.52295165,116.9166949,148.9231455,158.5029703,100.683666
40,73.14090705,88.50068879,119.8850991,151.367311,168.576128,100.9518356
41,69.90942496,85.39829093,112.1799417,141.1983859,162.2083524,101.1413407
42,71.14590951,87.48793936,116.9263758,150.9386217,167.567286,100.6362324
43,71.97601631,86.48012278,116.6330308,155.23595,177.6990321,100.9283134
44,71.05438052,84.67972218,114.103403,147.3163998,177.2822078,100.3273369
45,68.5877274,85.21767426,116.7647291,148.2547486,167.9595422,100.5104123
46,70.87904131,85.0905068,111.7337772,145.8686891,165.9378888,101.1245471
47,73.164783,85.81091699,113.8313033,142.3609312,157.9829899,101.1933898
48,69.67288798,87.16018532,115.8860141,153.2683963,174.7532684,101.4029346
49,71.81532271,86.91843885,112.3314655,139.20589,163.3183183,100.5888057
50,70.92891736,84.82045033,115.4745798,150.0401914,162.5875965,100.0562548
51,70.92500611,86.04358738,110.160305,139.7071668,159.3828028,101.3568286
52,72.00926486,87.33445676,113.6394501,141.6278734,168.6396703,100.9509806
53,70.3347497,84.52667428,114.2409866,152.5421219,171.6667022,100.5239807
54,70.61466041,84.92698397,114.9741283,145.5907368,157.4750475,100.9231001
55,72.72906286,87.11376725,116.7027336,150.3894245,170.2690671,101.1017339
56,73.4496909,90.83030433,118.7037305,155.9401201,176.0090618,100.9987062
57,72.74273429,87.36263059,120.5194094,153.1400372,163.493765,100.9729249
58,70.23574143,84.66361159,116.3524845,154.4240994,171.4332688,101.1401382
59,71.37959947,87.42640507,114.9707562,153.7412134,193.4892382,100.9492081
60,70.54525406,86.21594196,116.3263072,148.6352437,169.4228749,101.3371086
61,68.42195443,83.06275289,114.27511,147.6723077,161.3491921,100.722105
62,70.6205981,84.28077909,110.9491951,143.0021052,163.4874692,101.06937
63,71.63590675,85.49325313,115.416456,147.7701537,171.0273576,100.9147381
64,72.20492326,88.06523725,119.7521814,154.6606776,183.1254906,100.4678513
65,71.74865268,84.76454953,113.7092788,146.6636187,164.2790171,100.3053926
66,72.07854636,86.39792684,120.814042,153.8101872,164.9776641,100.8938781
67,71.22239835,86.23175943,113.1315723,142.1609729,162.2985427,100.781543
68,68.20259255,84.81151216,115.2476836,148.5707947,167.3418595,100.6599283
69,72.63193532,85.48618329,113.6501507,146.1014772,172.4529475,100.3136504
70,70.3278948,85.06017572,111.3379506,141.2721139,167.0133941,100.2400879
71,70.22166678,84.79889559,117.4637291,152.2488604,168.6853755,100.414697
72,71.7697996,87.2623621,112.1754226,149.8791682,178.7586394,101.2414281
73,72.17406406,88.51971994,117.6971849,152.0531914,174.0998944,100.5987109
74,71.18423048,84.031745,114.8609409,150.6872922,170.4667359,101.2553093
75,70.7644061,82.5853919,113.1356075,146.0257771,160.2538765,100.8917859
76,71.23781057,85.93992738,116.8518618,146.6625483,166.7336386,100.1206975
77,70.24272196,84.67355013,110.7997363,143.3625201,158.3756163,100.9989286
78,71.24297318,87.07327471,118.7160612,153.2315109,175.6403457,100.8482865
79,69.46112853,84.74599512,113.0065353,148.6293388,176.2223857,100.135663
80,70.38539192,85.02519648,114.7057039,148.2866887,159.3496379,101.1935357
81,71.61494122,85.99768524,114.9989478,157.5603005,173.4086022,100.4280152
82,72.02975807,85.14693711,112.7605334,142.1198829,162.6213793,100.6694442
83,70.45112027,83.97999065,110.3005091,135.1499586,153.6450957,100.0825087
84,70.2851463,85.15253124,112.4855868,144.8727148,163.2824662,100.8172155
85,69.29205446,84.47969048,114.7087375,150.0793938,164.6225647,100.9451487
86,69.96427411,85.85328984,115.4590396,146.2079185,168.4718138,100.6584617
87,70.63244988,85.14866338,112.4559702,141.8924884,155.4218526,100.7070005
88,72.57144363,85.89094344,119.5517211,146.9306904,169.7045408,100.5991627
89,70.42457837,85.34539203,118.2685469,157.9519404,175.0443081,99.84659181
90,70.36112182,83.2211474,113.5403228,148.0186918,175.6225016,100.3266279
91,70.61067725,84.96609147,114.407426,149.1251281,163.4967631,100.225748
92,70.3575245,85.85945529,115.9192238,146.4832533,178.6319274,100.1166799
93,70.23915964,83.88668225,113.2257012,144.0347269,160.6662487,100.4471165
94,70.43700901,84.59793722,112.1361131,141.359914,154.7542712,100.0214234
95,69.73643531,85.61814109,112.8630806,141.4421675,156.2083299,99.78773769
96,71.0088837,85.37894454,114.8440968,146.7145693,165.5964857,100.4363981
97,71.24424252,86.09745797,116.6904742,147.0943827,165.6373383,100.1627094
98,70.98512217,84.90038958,110.5931971,143.8668042,178.5010807,100.3052953
99,71.02610494,84.36490553,117.8294202,153.9142,168.1020805,100.176236
100,70.52890298,83.86348055,110.0218486,145.5382238,168.0378272,100.8887483
101,69.79173361,85.34081295,114.6936769,143.8600909,167.0075424,101.1920899
102,69.30570561,83.78964771,116.4599757,150.8394106,167.2552426,100.1839516
103,71.87334193,84.08907993,113.6009502,150.9411632,176.2610251,100.9463304
104,70.28712354,84.55564743,112.8517565,146.3806589,159.0224014,100.4182142
105,70.40757974,86.54178695,114.3068821,143.2535242,156.5325554,99.74901367
106,68.37135267,82.60960168,112.7605154,143.2178434,157.8126643,99.97847313
107,69.32814474,84.42630435,109.1433276,141.0751624,158.7558699,100.0498599
108,70.81578391,85.07714331,111.2467083,144.6738488,165.118951,100.2586749
109,69.26507,83.44667315,111.6995874,146.2476261,168.4736578,100.4495146
110,67.51289623,81.16737269,108.4266814,146.7777913,166.7229225,101.1053693
111,69.38765225,83.16134404,112.3882671,146.5050449,167.7950622,101.1050426
112,70.26079195,84.17403882,109.5290062,142.7733078,165.457239,100.5221386
113,68.54943059,83.73829881,113.1305974,159.1625897,174.4016565,100.6079418
114,68.82978345,83.95195692,110.4118123,145.7490183,164.4059537,100.3705165
115,68.8570398,84.11394053,112.9517662,139.0695667,152.5994717,100.7148343
116,69.65618398,83.69221029,113.1882829,150.2859783,169.7595858,99.73844815
117,71.86274028,85.49002,109.4583163,141.0283142,170.1453772,99.96296545
118,71.20069968,87.90909957,118.0403677,157.2416721,179.1851509,100.7971133
119,69.55507012,83.93645808,114.8449594,148.1578672,169.1066762,100.1222407
120,69.92643074,85.53601967,115.1014362,149.2752401,165.5832644,100.2797295
121,69.3008194,83.91019323,116.5576249,149.4065155,164.7712781,99.66946643
122,72.20716825,91.69608352,121.5026086,150.9659374,170.0916084,99.62140721
123,71.85098838,87.46343775,117.4728057,147.8037938,170.8393307,99.72394837
124,71.47871897,96.24350196,132.5114237,155.5582796,183.7408234,98.84747592
125,78.3987673,96.38248669,125.7506349,169.1496216,194.1914157,96.38451419
126,78.34205081,99.06752276,128.1464116,162.8325106,184.9488405,97.45131196
127,73.75588671,93.26094946,123.3616906,155.2335164,179.7473142,97.38841237
128,78.59420812,99.01417076,137.7521993,176.1025575,204.2526939,97.09038129
129,78.53166606,94.42754966,134.5991758,167.414001,181.4173001,97.07492227
130,78.33825648,97.70970137,127.9370281,168.8276229,187.4024925,95.63566906
131,77.75866963,95.19553516,132.712518,166.6828286,180.5772591,94.63001923
132,81.366577,101.6725846,131.7788022,172.5851616,184.1295226,94.9179088
133,76.90512699,91.57220988,121.4469812,147.6946144,163.3505728,96.20613763
134,77.39848799,99.70304127,131.0406578,159.3002439,194.610732,93.18118755
135,81.06527578,97.43777525,122.6094705,164.0360244,175.4176668,90.8432465
136,78.01201894,100.7080155,137.7009597,166.7744276,182.3986881,92.32835545
137,85.40085522,105.0244083,138.3429813,170.1133343,187.2229934,92.24540222
138,82.9849308,105.3724029,139.3064101,176.7176466,185.8220412,93.3254347
139,80.59294917,96.63558685,133.5030111,170.6355681,180.674832,92.57535229
140,81.29617927,100.6870129,133.8273614,161.8703116,181.2147971,91.67364772
141,78.12425488,95.25747118,135.2943062,161.9676585,173.9303899,87.74417791
142,78.4922384,103.6377574,134.3030099,159.8940196,175.1661717,88.60227886
143,80.49463877,94.99144502,127.4713675,162.7837169,182.5081419,89.41300874
144,83.160999,104.5123701,142.0717593,166.4239212,186.6548464,87.29015944
145,82.39286239,102.8794931,133.9822783,177.8680222,186.9022699,88.75813418
146,80.00516845,95.22502869,130.8061399,166.0057993,184.2157232,87.14965192
147,84.50844834,112.8472432,153.5129573,176.7290258,193.0590412,87.85121635
148,79.51308027,95.4950807,124.8570042,171.9994668,184.2731195,89.02893124
149,76.79241055,100.1846783,142.1852276,176.9194655,189.4962813,87.7899989
150,80.22534133,93.86618208,133.7574825,161.4632716,168.2928427,86.36452257
151,82.98360962,102.5018088,135.8583027,174.2213843,189.6771087,91.92087393
152,88.27494907,103.3910727,141.475155,179.1045842,186.883739,88.31937316
153,86.75663206,104.8088254,139.2396795,171.2972657,210.1305599,86.53098512
154,80.04263702,101.1808248,139.2030411,163.996876,174.1131647,86.45975127
155,80.45513653,94.95203381,126.4835658,167.6969778,196.161964,85.79429729
156,82.59782226,100.6471992,138.0174103,163.9403389,172.589619,84.23350585
157,80.35769321,93.14814837,129.0039144,170.100816,178.8305372,83.07713053
158,83.86379928,101.3281055,140.2668383,174.0522158,182.8458756,84.93894893
159,87.4697268,101.3140537,135.2687443,172.8592699,187.0372455,84.55442656
160,87.80987749,102.0774636,140.8980829,170.7969895,179.7279203,84.00694495
161,82.28579421,97.79664659,123.4969956,156.6589078,164.8878915,84.89052132
162,84.02688542,101.2216633,128.2922231,163.8036277,177.5390952,82.8693999
163,85.18480514,106.4453239,133.4855935,172.0777451,182.1241134,85.44850589
164,78.88530935,100.2283764,125.9276166,159.8480886,173.5480745,86.99350466
165,83.94829771,101.5368745,127.3708867,157.2059233,184.018313,83.69807727
166,83.24317342,96.29697336,131.2783097,173.4654324,209.3893227,84.52611514
167,86.9448916,102.9726706,154.6730551,191.2672881,206.4643853,86.97903268
168,84.42164996,102.4480888,141.905355,172.9410885,179.3724368,82.59617694
169,84.78125205,105.4891934,135.8961762,171.7836629,186.9480817,84.3186695
170,88.47184656,110.2474198,140.175329,171.6109632,189.5662544,82.69554844
171,83.94530578,100.7861622,134.3298231,176.5092101,194.9679273,82.39910219
172,80.27499433,104.2029638,139.8171346,177.9282457,202.6473722,83.79869994
173,84.39322658,102.2333525,135.2048775,184.936966,212.2262067,82.40815934
174,87.16642685,104.9648472,143.2767923,176.6127076,187.8419999,79.81328153
175,79.12994739,96.28213857,125.6293147,161.3359209,173.6552025,79.38949992
176,83.55273013,103.9447125,134.9157619,156.217456,163.8252285,78.78027952
177,82.99817888,100.9790524,130.8510971,155.7711852,187.3436827,81.21184359
178,82.66677261,105.3016744,134.6549031,164.9619928,174.4592924,82.14880363
179,83.73158772,100.3627104,136.0432596,170.0280037,181.3400601,82.58792611
180,89.00223912,113.5635358,146.0159197,184.8470405,197.711902,82.68848622
181,82.49491229,101.2866226,134.5984676,158.4039605,170.3820177,80.45556088
182,85.80548169,101.7685359,131.1110539,167.1882484,195.4759853,79.78927973
183,82.66211716,102.4251608,128.2288767,158.4868694,175.66721,79.93932402
184,86.82745265,106.8981634,135.2481634,160.9178738,206.6078897,80.21705122
185,84.93759756,100.9932428,133.0797689,164.645781,198.1444813,79.91956927
186,83.10195771,105.8686937,135.6008266,158.3310249,176.0233367,81.17245227
187,91.02389389,105.8019622,138.2892051,167.4077523,181.0540031,78.22803647
188,83.39334042,104.5614784,140.9635996,170.3945178,183.0306844,76.53879055
189,81.68572467,100.0031013,144.0127598,171.7825345,179.1233215,78.76390297
190,88.08955246,104.4839061,142.8671826,177.6222951,188.853521,76.31971588
191,84.87933376,103.3078555,139.9414672,174.4649658,188.1343336,78.43977088
192,76.9990748,98.38930468,125.5627261,149.9726068,177.0786162,78.26022655
193,86.40708774,114.0722463,141.1757756,173.3482038,188.9095368,75.53736693
194,87.36078566,100.4199503,134.4494323,177.3777395,198.5965037,76.16788519
195,81.15301287,95.54217304,127.6076213,164.1747812,176.4202491,75.13423674
196,79.19542215,96.92262482,127.052619,162.5515533,169.7214245,75.97199906
197,85.28387668,108.2444375,136.7674417,179.0311817,192.2896763,74.81187716
198,81.92065504,111.4776413,138.084858,180.6209005,191.295461,72.19845408
199,85.48237439,102.1210897,137.5610337,175.8910227,190.8210546,71.59038755
200,80.23377986,99.31826284,131.6634827,157.1084197,164.6691901,71.82660339
201,84.81981036,105.0861791,130.649849,153.6414977,182.8042181,70.03410036
202,84.60255445,109.4191322,139.3367522,181.4649088,189.7150434,71.78596089
203,85.96929126,109.601562,140.4595423,159.1131702,163.1681825,69.8401188
204,89.47983369,103.3897403,128.1218845,159.6381044,171.7988168,71.96134157
205,81.52171738,97.45515403,130.2187388,155.6645504,163.0203438,71.1138965
206,84.59016751,99.47580136,134.398182,167.4602265,174.3506353,69.40898303
207,91.32605455,113.9866738,142.3921056,165.4225889,177.0955269,72.40762357
208,82.09324903,97.68755709,128.9692469,164.5304324,179.3587725,68.78704925
209,82.73719541,110.1264849,140.4892219,180.7123137,191.9551948,70.86941593
210,91.19635321,105.4610038,136.446044,163.5476182,181.638452,70.41781641
211,86.7321613,102.3114601,134.3036613,164.4132177,174.995056,70.98383634
212,85.68742598,98.51627858,123.8185508,166.7992415,177.2260399,73.0337627
213,85.58377137,104.7671345,136.2428571,167.2571752,192.8588683,73.81492303
214,83.46344067,104.5294177,132.1734422,158.5607229,175.7778026,70.8619019
215,86.49282059,107.1432297,134.7388906,163.0215829,184.5486977,69.30010951
216,94.00173034,107.9460232,142.6005374,178.7399305,197.4232715,72.57408612
217,85.4390086,110.202669,136.9985193,159.4438474,180.3741824,71.00008778
218,87.73694264,105.0138969,133.9856757,179.6375732,197.3402902,72.02054324
219,77.80454611,102.9929377,135.36374,151.5697697,166.1420144,70.81156276
220,84.83105637,102.2026091,127.4844774,151.5501965,159.3089244,70.05162383
221,94.60647756,110.1183007,139.8526486,172.6126104,206.0644375,74.67827894
222,80.3331867,104.3592256,135.6050265,166.0349604,187.2346461,73.42729357
223,91.27662253,110.5625948,138.689644,166.0717902,180.5554321,70.58468907
224,89.77574613,104.0075462,138.4395016,171.3153735,184.5174044,74.62010602
225,85.38823092,102.6673109,131.1402567,159.2414973,174.831821,74.19644952
226,88.03608559,103.9910042,141.4556531,169.1422482,186.7814964,73.16993974
227,83.78948477,95.61416274,132.9772105,159.9937103,171.7272922,72.66522763
228,82.33152425,103.6565537,128.8879517,151.6243451,162.7220347,72.28646069
229,87.44837875,109.2772827,135.8427425,173.5925728,184.697138,73.40747627
230,85.92258889,107.7987937,139.040455,189.1481441,206.5613075,72.50935146
231,78.95810505,96.83486135,128.7436935,160.3792823,172.4344589,71.15371183
232,81.06862423,101.0997565,134.9790044,168.270002,185.4246766,73.0375927
233,86.30094982,106.2515523,143.6414504,167.1034414,195.7538249,71.96497694
234,83.45555998,102.4583284,136.6521231,157.4049586,166.0325774,73.99726167
235,81.63216364,104.4906468,134.1876204,166.642562,177.8367915,72.95567517
236,89.51047558,105.3173592,129.021882,168.2641886,182.9114262,71.5965948
237,87.75307505,101.1590319,133.1326841,156.4023831,184.2894877,70.88863545
238,80.26030755,101.7977471,143.8966755,160.9276851,168.3266427,71.94285886
239,85.35877673,97.64397768,129.1443262,150.4629789,158.7022939,74.18931085
240,84.37561901,95.09730717,127.8517257,160.2102018,168.0553603,71.98352221
241,84.05962172,106.8834584,138.8266091,177.6689654,187.8569778,71.98188178
242,83.63124225,96.80156138,125.8572868,157.2171119,167.0153489,73.25226739
243,87.1627182,110.7574171,137.8149007,172.3278114,196.6995474,73.16701337
244,85.05764332,97.13090902,131.2732972,173.6725709,192.7698954,71.68175845
245,94.96794832,112.5620294,139.768048,168.4949692,191.8897815,73.36344168
246,78.39675732,95.79499852,131.2926442,162.9055868,175.3855643,71.49982297
247,78.64895387,104.7664042,134.5703528,167.9012478,177.2389175,73.07259099
248,87.65785211,101.2935072,136.7368109,167.8621539,190.7886041,71.84695591
249,87.80861942,101.6382736,133.5755272,159.9056744,169.1115352,68.58551891
250,83.81412303,98.71810375,124.3646746,146.7070838,183.8118628,70.3277245
251,81.64522188,97.58859948,129.8839489,149.7971898,167.0451469,69.27418228
252,85.83100412,105.8608427,131.2634484,182.4067346,211.0814901,70.16585656
