Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron,Concentration
1,26.17331671,31.01359601,41.33955485,55.40539334,71.16674651,22.378845
2,29.62514694,36.5946724,53.56324788,72.75236896,82.60526103,22.51134
3,32.50498825,42.63679461,58.3813942,74.47523544,87.73734866,22.186955
4,34.48285783,43.51911186,62.72219186,80.32800321,87.02885808,22.0262
5,36.13883048,45.19964399,66.77180058,83.93269616,94.21133832,21.949385
6,40.89566358,53.44248581,70.11509631,99.21582908,119.9285321,21.92708
7,41.57481692,50.06315233,69.7613137,92.7769362,100.973762,21.816315
8,44.6009832,57.40077801,81.30246764,104.0607782,115.8457647,22.0437
9,43.94398501,52.60955637,75.38917033,96.60853903,105.652282,21.945575
10,44.05843798,55.55249808,76.48601734,100.1760908,110.7666107,21.86124
11,45.23439948,55.21023828,82.78719724,103.0642682,113.3478239,21.597895
12,46.39920526,59.27385201,77.46016178,101.0242925,112.7321946,21.6797
13,49.615875,59.35397072,83.05194755,105.7629341,118.1423682,21.778735
14,47.3990829,59.60428082,81.94054646,103.5321658,117.9257896,21.792975
15,47.1164781,59.95331166,82.75658384,102.9512547,112.505907,21.42672
16,49.35118481,63.09394758,83.13424039,102.9753491,134.0492219,21.4965
17,48.07083521,59.63033687,83.36211012,118.9995551,137.6069915,21.54791
18,48.68716279,61.58228846,82.93190921,98.35441047,105.1537767,21.441365
19,48.31651736,61.79704124,86.9020687,113.7155976,125.565833,21.76378
20,51.19033771,62.44602704,84.70434254,108.2153494,119.4160027,21.29667
21,49.7223497,64.50667096,86.17341047,108.3167548,133.9299841,21.795135
22,49.94674318,63.92960924,89.34462032,120.9192227,136.018551,21.74312
23,49.94095286,61.3943468,79.88799486,112.3263634,132.8856975,21.456995
24,51.52510427,66.04481159,88.00692455,112.2961346,124.9424225,21.5403
25,55.32254,65.35278767,87.6199095,104.859653,123.4293991,21.57087
26,53.26328588,66.9865318,84.29843712,101.3616946,121.4613356,21.868245
27,50.91857865,64.2384673,83.99750116,111.7240103,124.905483,21.20367
