Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron,Concentration
1,49.22218695,64.21228953,92.15600848,123.427575,144.8364835,378.5600116
2,58.94017973,78.46500396,109.590015,140.2939648,155.4209844,378.9882628
3,64.10134161,86.74705319,118.4611518,144.9860051,164.7864904,379.5015941
4,66.5432776,89.72787988,125.0780818,162.1792694,184.1938421,377.6533927
5,68.78658194,89.77453351,127.6573322,159.536218,173.6621149,379.0145375
6,67.98903588,88.46716766,119.6910204,150.3752314,162.7652148,378.9601112
7,68.60496816,87.97152359,119.6432943,150.8291009,168.7360176,378.4182808
8,67.54312033,88.89985796,119.9923937,155.5551589,173.9107846,376.6985338
9,71.25927533,93.20084194,124.8361996,157.5951002,179.34051,377.0219639
10,71.76153581,92.40647536,127.9665618,160.7206798,183.0124069,380.9979359
11,73.04240953,91.67848566,122.9610096,154.7507974,180.2648096,379.3932975
12,73.71759673,93.46523251,127.0803325,164.4240158,186.8037175,375.6537985
13,72.39640621,91.5121066,123.9777928,159.0777946,175.7822008,380.977917
14,73.25256355,94.36162674,127.4600509,164.758495,185.2799559,379.511534
15,73.48011002,94.22593968,127.7347805,160.1893435,178.9836257,378.4008337
16,73.78358784,94.45640912,127.2129552,161.3794407,184.605552,378.9806862
17,73.33402875,92.12456028,127.8678595,165.0161557,179.6358517,377.9944088
18,76.59062261,97.17979469,131.4528371,166.267276,179.3780838,380.2101095
19,72.61909388,92.25075149,127.0210861,159.0524257,178.5242365,379.1735764
20,71.97670526,91.89268343,124.5685908,163.3671285,181.9312341,377.9729302
21,74.46331825,94.14608805,126.1369963,159.9125977,188.2299247,376.4384969
22,72.9427485,92.10034932,122.7907173,153.352806,175.4061733,379.069937
23,73.10974417,92.95635867,126.3667935,158.865935,184.7104135,378.6783872
24,73.85030577,93.46951906,125.9790371,157.0637878,177.5445028,376.4181305
25,75.72115523,95.76152018,127.8451501,164.8234504,182.751794,379.3958694
26,75.06067567,94.85284253,125.30981,155.4906225,175.752898,376.9422359
27,75.04046709,91.84079378,125.5400896,160.8114366,181.7972685,376.4223011
28,74.70971607,93.88354329,125.9873733,164.9277612,188.2507297,377.9043238
29,72.56682391,90.09302842,122.3993867,161.9175109,178.4891496,377.0199481
30,74.86785473,94.82608415,124.6831475,159.0811932,182.1052814,378.2778706
31,76.32363451,93.42436641,123.9553062,161.9081001,182.2133039,378.6631645
32,73.77658975,93.80581764,125.4580984,163.2280218,180.8237301,377.6039711
33,75.87300156,94.49336205,127.1133291,159.2487676,175.1855192,378.583645
34,74.04517576,94.84119174,124.1293264,157.1207507,175.3118935,377.877493
35,75.48642302,93.56950873,127.1681552,158.1064164,171.847554,377.1210156
36,76.28781636,94.23856485,127.0189496,162.2319731,185.0993963,375.9323946
37,73.12366018,92.92265971,125.2443429,157.7335235,174.6684005,377.2286866
38,74.35521391,90.40022182,125.2262187,156.8291402,180.9123197,374.4660812
39,75.33036313,94.89094467,128.2809505,162.7507435,181.2089619,374.2993962
40,73.89677479,93.7235486,124.7417768,156.4144506,179.200187,377.1992144
41,76.33013931,94.51557727,125.7208079,161.6594823,184.3851056,376.6942937
42,73.37646961,90.790003,122.4760488,159.5955928,178.5424877,378.2229577
43,75.14288705,94.78700682,125.9683206,162.6735617,180.6561244,378.3961071
44,73.93841665,94.25338503,127.168854,165.4649608,189.1734268,377.6712568
